subject,body,category,priority,channel
Accidental purchase – please refund,"I'd appreciate a quick response. After I downgraded my plan last week, I still got billed for the higher tier. Please correct this and refund me.",Refund Request,High,Email
Request: email digest summary,Honestly this is really frustrating. An audit log showing who made what changes is important for our compliance requirements. Please add this. I expect to hear back within 24 hours.,Feature Request,Medium,Web Form
Pages lagging and timing out,I'm not sure who to contact so I'm trying here. Your API endpoints are responding in 8-12 seconds. We need sub-second responses for our integration to work.,Performance Issue,Medium,Chat
Refund not received after 2 weeks,"Hi there, accidental subscription renewal — I had already switched providers. Can I get my money back? I expect to hear back within 24 hours.",Refund Request,Medium,Phone
Login page keeps refreshing without signing me in,Please treat this as a high priority. I've tried every browser and cleared cache and cookies but still cannot sign in to my account. Best.,Login Issue,High,Web Form
Add ability to schedule reports,This is the third time I'm reaching out about this. Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap?,Feature Request,Low,Web Form
Your servers seem overloaded today,This is the third time I'm reaching out about this. We're losing productivity because of these slow load times. Our entire workflow runs through your platform. I expect to hear back within 24 hours.,Performance Issue,Medium,Email
Possible SQL injection vulnerability found,Following up again as I haven't heard back. Emails are going out from my account that I did not send. Someone has access to my email integration.,Security Concern,High,Chat
I think my account was hacked,Thanks in advance for your help. I didn't log in today but my account shows a session active in a different country. Please investigate. Thanks.,Security Concern,High,Chat
Browser login works but app doesn't,I've been a loyal customer and this is unacceptable. The verification email for new device login is not coming through. I need access right now.,Login Issue,Urgent,Email
Add Zapier integration please,Offline mode for the mobile app would be a huge improvement. We often work in areas with poor connectivity. I appreciate your help.,Feature Request,Medium,Chat
Button not responding on dashboard,I'd appreciate a quick response. I've been trying to upload a 5MB attachment for 20 minutes. It gets to 99% and just hangs forever.,Bug Report,High,Web Form
Refund for unauthorized transaction,I hope you can assist me quickly. It's been two weeks since I requested a refund and there's been no update. This is unacceptable. Please escalate. I expect to hear back within 24 hours.,Refund Request,Medium,Email
Search is very slow,Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long. Thank you for your time.,Performance Issue,Medium,Phone
Platform lagging during peak hours,Please treat this as a high priority. Is there a known outage? The platform has been nearly inaccessible for the past two hours. Regards.,Performance Issue,High,Email
Cancelling because features I need are missing,Honestly this is really frustrating. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Best.,Subscription Cancellation,High,Email
Response time has tripled,This is the third time I'm reaching out about this. We're losing productivity because of these slow load times. Our entire workflow runs through your platform. Best.,Performance Issue,Medium,Chat
Please add keyboard shortcuts,"The search filters are quite basic. Adding filters for date range, status, and custom fields would be great. I appreciate your help.",Feature Request,Medium,Chat
Security vulnerability found in your app,This is the third time I'm reaching out about this. I can access another user's private data through a URL parameter change. This is a serious vulnerability. Thank you for your time.,Security Concern,High,Chat
Error during payment processing,This is the third time I'm reaching out about this. My bank says the payment cleared but your system still shows my account as past due.,Payment Problem,Medium,Web Form
